ParameterName, ene_min, ene_max, erec_minus_ene_min, erec_minus_ene_max
enu_erec_minus_enu_249, 1.52906693, 2.02735711, -1.52823644e-01, -1.49369809e-01
enu_erec_minus_enu_250, 1.52906693, 2.02735711, -1.49369809e-01, -1.45915975e-01
enu_erec_minus_enu_251, 1.52906693, 2.02735711, -1.45915975e-01, -1.42955545e-01
enu_erec_minus_enu_252, 1.52906693, 2.02735711, -1.42955545e-01, -1.39501710e-01
enu_erec_minus_enu_253, 1.52906693, 2.02735711, -1.39501710e-01, -1.36047875e-01
enu_erec_minus_enu_254, 1.52906693, 2.02735711, -1.36047875e-01, -1.33087445e-01
enu_erec_minus_enu_255, 1.52906693, 2.02735711, -1.33087445e-01, -1.29633610e-01
enu_erec_minus_enu_256, 1.52906693, 2.02735711, -1.29633610e-01, -1.26673180e-01
enu_erec_minus_enu_257, 1.52906693, 2.02735711, -1.26673180e-01, -1.23219345e-01
enu_erec_minus_enu_258, 1.52906693, 2.02735711, -1.23219345e-01, -1.20258915e-01
enu_erec_minus_enu_259, 1.52906693, 2.02735711, -1.20258915e-01, -1.17298486e-01
enu_erec_minus_enu_260, 1.52906693, 2.02735711, -1.17298486e-01, -1.14338056e-01
enu_erec_minus_enu_261, 1.52906693, 2.02735711, -1.14338056e-01, -1.10884221e-01
enu_erec_minus_enu_262, 1.52906693, 2.02735711, -1.10884221e-01, -1.07923791e-01
enu_erec_minus_enu_263, 1.52906693, 2.02735711, -1.07923791e-01, -1.04963361e-01
enu_erec_minus_enu_264, 1.52906693, 2.02735711, -1.04963361e-01, -1.02002931e-01
enu_erec_minus_enu_265, 1.52906693, 2.02735711, -1.02002931e-01, -9.90425012e-02
enu_erec_minus_enu_266, 1.52906693, 2.02735711, -9.90425012e-02, -9.60820713e-02
enu_erec_minus_enu_267, 1.52906693, 2.02735711, -9.60820713e-02, -9.31216414e-02
enu_erec_minus_enu_268, 1.52906693, 2.02735711, -9.31216414e-02, -9.01612115e-02
enu_erec_minus_enu_269, 1.52906693, 2.02735711, -9.01612115e-02, -8.72007816e-02
enu_erec_minus_enu_270, 1.52906693, 2.02735711, -8.72007816e-02, -8.42403517e-02
enu_erec_minus_enu_271, 1.52906693, 2.02735711, -8.42403517e-02, -8.12799218e-02
enu_erec_minus_enu_272, 1.52906693, 2.02735711, -8.12799218e-02, -7.83194919e-02
enu_erec_minus_enu_273, 1.52906693, 2.02735711, -7.83194919e-02, -7.53590620e-02
enu_erec_minus_enu_274, 1.52906693, 2.02735711, -7.53590620e-02, -7.23986321e-02
enu_erec_minus_enu_275, 1.52906693, 2.02735711, -7.23986321e-02, -6.99316072e-02
enu_erec_minus_enu_276, 1.52906693, 2.02735711, -6.99316072e-02, -6.69711773e-02
enu_erec_minus_enu_277, 1.52906693, 2.02735711, -6.69711773e-02, -6.40107474e-02
enu_erec_minus_enu_278, 1.52906693, 2.02735711, -6.40107474e-02, -6.10503175e-02
enu_erec_minus_enu_279, 1.52906693, 2.02735711, -6.10503175e-02, -5.80898876e-02
enu_erec_minus_enu_280, 1.52906693, 2.02735711, -5.80898876e-02, -5.51294577e-02
enu_erec_minus_enu_281, 1.52906693, 2.02735711, -5.51294577e-02, -5.21690278e-02
enu_erec_minus_enu_282, 1.52906693, 2.02735711, -5.21690278e-02, -4.92085979e-02
enu_erec_minus_enu_283, 1.52906693, 2.02735711, -4.92085979e-02, -4.62481681e-02
enu_erec_minus_enu_284, 1.52906693, 2.02735711, -4.62481681e-02, -4.27943332e-02
enu_erec_minus_enu_285, 1.52906693, 2.02735711, -4.27943332e-02, -3.98339033e-02
enu_erec_minus_enu_286, 1.52906693, 2.02735711, -3.98339033e-02, -3.68734734e-02
enu_erec_minus_enu_287, 1.52906693, 2.02735711, -3.68734734e-02, -3.39130435e-02
enu_erec_minus_enu_288, 1.52906693, 2.02735711, -3.39130435e-02, -3.09526136e-02
enu_erec_minus_enu_289, 1.52906693, 2.02735711, -3.09526136e-02, -2.74987787e-02
enu_erec_minus_enu_290, 1.52906693, 2.02735711, -2.74987787e-02, -2.45383488e-02
enu_erec_minus_enu_291, 1.52906693, 2.02735711, -2.45383488e-02, -2.10845139e-02
